Time(s),Chamber Pressure(psi),Thrust(N)
0,1100.23252,0
0.03,1109.66522,1638.09104
0.06,1118.89267,1652.34205
0.09,1127.90813,1666.26567
0.12,1136.705,1679.85167
0.15,1145.27674,1693.09
0.18,1153.61698,1705.97079
0.21,1161.71945,1718.48438
0.24,1169.57805,1730.62132
0.27,1177.18681,1742.3724
0.3,1184.53991,1753.72864
0.33,1191.63171,1764.68132
0.36,1198.45673,1775.22197
0.39,1205.00966,1785.34242
0.42,1211.28539,1795.03476
0.45,1217.27901,1804.29138
0.48,1222.98578,1813.105
0.51,1228.40118,1821.46864
0.54,1233.52092,1829.37564
0.57,1238.3409,1836.81968
0.6,1242.85725,1843.7948
0.63,1247.06634,1850.29538
0.66,1250.96475,1856.31616
0.69,1254.54934,1861.85224
0.72,1257.81716,1866.89912
0.75,1260.76556,1871.45266
0.78,1263.39209,1875.50912
0.81,1265.6946,1879.06515
0.84,1267.67116,1882.11778
0.87,1269.32013,1884.66447
0.9,1270.64011,1886.70307
0.93,1271.62998,1888.23184
0.96,1272.28888,1889.24945
0.99,1272.61621,1889.755
1.02,1272.61166,1889.74797
1.05,1272.27517,1889.22829
1.08,1271.60696,1888.19629
1.11,1270.60751,1886.65272
1.14,1269.27756,1884.59873
1.17,1267.61815,1882.03592
1.2,1265.63056,1878.96625
1.23,1263.31634,1875.39213
1.26,1260.6773,1871.31636
1.29,1257.71552,1866.74214
1.32,1254.43332,1861.67306
1.35,1250.83328,1856.11311
1.38,1246.91825,1850.06667
1.41,1242.69129,1843.5385
1.44,1238.15574,1836.53372
1.47,1233.31514,1829.05783
1.5,1228.17329,1821.11668
1.53,1222.73421,1812.71649
1.56,1217.00214,1803.86379
1.59,1210.98154,1794.56548
1.62,1204.67707,1784.82876
1.65,1198.09359,1774.66114
1.68,1191.23619,1764.07047
1.71,1184.11011,1753.06485
1.74,1176.7208,1741.65269
1.77,1169.07388,1729.84266
1.8,1161.17512,1717.64371
1.83,1153.03049,1705.06501
1.86,1144.64607,1692.11599
1.89,1136.02811,1678.80629
1.92,1127.183,1665.14577
1.95,0.0,0.0
